2026-03-05 15:41:25,379 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=6.64
2026-03-05 15:41:25,382 | INFO     | ai_chat.backend | HTTP GET /api/conversations/50e62126-108c-4457-a218-3d13f8dd3ea1 status=200 ip=127.0.0.1 duration_ms=1.58
2026-03-05 15:49:19,873 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=28.41
2026-03-05 15:49:19,883 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=1.59
2026-03-05 15:49:30,517 | INFO     | services.logging_service | Logging initialized. log_file=/Users/songguodong/Workspace/Skywork/chatbot-system/backend/logs/app.log
2026-03-05 15:49:30,556 | INFO     | ai_chat.backend | Loaded local skills on startup: count=2 names=academic-pptx,video-studio
2026-03-05 15:49:36,231 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=40.07
2026-03-05 15:49:36,239 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=2.75
2026-03-05 15:49:48,331 | INFO     | ai_chat.backend | HTTP OPTIONS /api/agent/chat status=200 ip=127.0.0.1 duration_ms=0.87
2026-03-05 15:49:48,341 | INFO     | ai_chat.backend | HTTP POST /api/agent/chat status=200 ip=127.0.0.1 duration_ms=6.22
2026-03-05 15:49:49,980 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:49:51,357 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=b956131dcbe64c9aac965d410f53d162 "HTTP/1.1 202 Accepted"
2026-03-05 15:49:51,705 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=b956131dcbe64c9aac965d410f53d162 "HTTP/1.1 202 Accepted"
